dept_name,title,count
Customer Service,Senior Engineer,545
Customer Service,Senior Staff,3795
Customer Service,Technique Leader,64
Development,Senior Engineer,12980
Development,Senior Staff,329
Development,Technique Leader,1795
Finance,Senior Staff,3226
Human Resources,Senior Staff,3315
Marketing,Senior Staff,3701
Production,Senior Engineer,11256
Production,Senior Staff,390
Production,Technique Leader,1597
Quality Management,Senior Engineer,3142
Quality Management,Technique Leader,437
Research,Manager,1
Research,Senior Engineer,664
Research,Senior Staff,3211
Research,Technique Leader,94
Sales,Manager,1
Sales,Senior Staff,9663
